# File with transport data and reaction rates for an air chemistry.
# Transport data calculated using the offline BOLSIG+ solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(^2D) + NO -> N2O have actually three-body nature

reaction_list
------------------
# Rotational excitation
e + N2 -> e + N2*(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2*(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2*(v1),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v1),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v2),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2*(v3),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2*(v4),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2*(v5),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2*(v6),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2*(v7),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2*(v8),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2*(v1),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v1),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v2),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v2),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v3),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2*(v4),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2*(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2*(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2*(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2*(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2*(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2*(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2*(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2*(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2*(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2*(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2*(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2*(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2*(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2*(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2*(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(^4S) + N(^2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(^3P) + O(^3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(^3P) + O(^1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(^3P) + O(^1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(^3P),field_table,C28 O2 Attachment
e + O2 + N2 -> O2- + N2,c1,1.1e-31,cm
e + O3 + O2 -> O3- + O2,c1,1e-31,cm
e + O3 -> O2- + O(^3P),c1,1e-09,cm
e + O3 -> O- + O2,c1,1e-11,cm
e + NO + M -> NO- + M,c1,1e-30,cm
e + NO2 -> NO2-,c1,3e-11,cm
e + NO2 -> O- + NO,c1,1e-11,cm
e + N2O + N2 -> N2O- + N2,(c1*(kB_eV*Te+c2)**2-c3)*c4,4.72 0.412 1.268 1e-31,cm
e + O(^3P) + O2 -> O2- + O(^3P),c1,1e-31,cm
e + O(^3P) + O2 -> O- + O2,c1,1e-31,cm
e + O(^3P) + N2 -> O- + N2,c1,1e-31,cm
# Detachment
O- + O2 -> e + O3,c1,5e-15,cm
O- + O2*(a) -> e + O3,c1,3e-10,cm
O- + O2*(b) -> e + O2 + O(^3P),c1,6.9e-10,cm
O- + O3 -> e + 2O2,c1,5.3e-10,cm
O- + N2 -> e + N2O,c1*exp(-(c2/(c3+Td))**c4),1.16e-12 48.9 11.0 2.0,cm
O- + N2*(A) -> e + N2 + O(^3P),c1,2.2e-09,cm
O- + N2*(B) -> e + N2 + O(^3P),c1,1.9e-09,cm
O- + NO -> e + NO2,c1,2.6e-10,cm
O- + O(^3P) -> e + O2,c1,5e-10,cm
O- + N(^4S) -> e + NO,c1,2.6e-10,cm
O2- + M -> e + O2 + M,c1*exp(-(c2/(c3+Td))**c4),1.24e-11 179.0 8.8 2.0,cm
O2- + O2*(a) -> e + 2O2,c1,2e-10,cm
O2- + O2*(b) -> e + 2O2,c1,3.6e-10,cm
O2- + N2*(A) -> e + O2 + N2,c1,2.1e-09,cm
O2- + N2*(B) -> e + O2 + N2,c1,2.5e-09,cm
O2- + O(^3P) -> e + O3,c1,1.5e-10,cm
O2- + N(^4S) -> e + NO2,c1,5e-10,cm
O3- + O3 -> e + 3O2,c1,1e-10,cm
O3- + O(^3P) -> e + 2O2,c1,3e-10,cm
# Negative ion conversion
O- + O2 + M -> O3- + M,c1*exp(-(Td/c2)**c3),1.1e-30 65.0 2.0,cm
O- + O2 -> O2- + O(^3P),c1*exp(-(c2/(c3+Td))**c4),6.96e-11 198.0 5.6 2.0,cm
O- + O3 -> O3- + O(^3P),c1,5.3e-10,cm
O- + O2*(a) -> O2- + O(^3P),c1,1e-10,cm
O- + NO + M -> NO2- + M,c1,1e-29,cm
O- + NO2 -> NO2- + O(^3P),c1,1.2e-09,cm
O- + N2O -> NO- + NO,c1,2e-10,cm
O- + N2O -> N2O- + O(^3P),c1,2e-12,cm
O2- + O2 + M -> O4- + M,c1*(300/Tg)**c2,3.5e-31 1.0,cm
O2- + O3 -> O3- + O2,c1,4e-10,cm
O2- + NO2 -> NO2- + O2,c1,8e-10,cm
O2- + NO3 -> NO3- + O2,c1,5e-10,cm
O2- + N2O -> O3- + N2,c1,1e-12,cm
O2- + O(^3P) -> O- + O2,c1,3.3e-10,cm
O3- + NO -> NO2- + O2,c1,2.6e-12,cm
O3- + NO -> NO3- + O(^3P),c1,1e-11,cm
O3- + NO2 -> NO2- + O3,c1,7e-10,cm
O3- + NO2 -> NO3- + O2,c1,2e-11,cm
O3- + NO3 -> NO3- + O3,c1,5e-10,cm
O3- + O(^3P) -> O2- + O2,c1,3.2e-10,cm
O4- + M -> O2- + O2 + M,c1*exp(-c2/Tg),1e-10 1044.0,cm
O4- + O2*(a) -> O2- + 2O2,c1,1e-10,cm
O4- + O2*(b) -> O2- + 2O2,c1,1e-10,cm
O4- + NO -> NO3- + O2,c1,2.5e-10,cm
O4- + O(^3P) -> O- + 2O2,c1,3e-10,cm
O4- + O(^3P) -> O3- + O2,c1,4e-10,cm
# Positive ion conversion
N2+ + O2 -> O2+ + N2,c1*(300/Tg)**c2,6e-11 0.5,cm
N2+ + O3 -> O2+ + N2 + O(^3P),c1,1e-10,cm
N2+ + N2 + M -> N4+ + M,c1*(300/Tg)**c2,5e-29 2.0,cm
N2+ + N2*(A) -> N3+ + N(^4S),c1,3e-10,cm
N2+ + NO -> NO+ + N2,c1,3.3e-10,cm
N2+ + NO2 -> NO2+ + N2,c1,3e-10,cm
N2+ + N2O -> NO+ + N2 + N(^4S),c1,4e-10,cm
N2+ + N2O -> N2O+ + N2,c1,5e-10,cm
N2+ + O(^3P) -> O+ + N2,c1*(300/Tg)**c2,1e-11 0.2,cm
N2+ + O(^3P) -> NO+ + N(^4S),c1*(300/Tg)**c2,1.3e-10 0.5,cm
N2+ + N(^4S) + M -> N3+ + M,c1*exp(-c2/Tg),9e-30 -400.0,cm
N2+ + N(^4S) -> N+ + N2,c1*Tg**c2,2.4e-15 1.0,cm
N4+ + O2 -> O2+ + 2N2,c1,2.5e-10,cm
N4+ + N2 -> N2+ + 2N2,10**(c1+c2*(Tg-300)),-14.6 0.0036,cm
N4+ + NO -> NO+ + 2N2,c1,4e-10,cm
N4+ + O(^3P) -> O+ + 2N2,c1,2.5e-10,cm
N4+ + N(^4S) -> N+ + 2N2,c1,1e-11,cm
O2+ + O2 + M -> O4+ + M,c1*(300/Tg)**c2,2.4e-30 3.0,cm
O2+ + N2 + N2 -> N2O2+ + N2,c1*(300/Tg)**c2,9e-31 2.0,cm
O2+ + N2 -> NO+ + NO,c1,1e-17,cm
O2+ + NO -> NO+ + O2,c1,4.4e-10,cm
O2+ + NO2 -> NO+ + O3,c1,1e-11,cm
O2+ + NO2 -> NO2+ + O2,c1,6.6e-10,cm
O2+ + N(^4S) -> NO+ + O(^3P),c1,1.2e-10,cm
O4+ + O2 -> O2+ + 2O2,c1*(300/Tg)**c2*exp(-c3/Tg),3.3e-06 4.0 5030.0,cm
O4+ + O2*(a) -> O2+ + 2O2,c1,1e-10,cm
O4+ + O2*(b) -> O2+ + 2O2,c1,1e-10,cm
O4+ + N2 -> N2O2+ + O2,c1*(Tg/300)**c2*exp(-c3/Tg),4.61e-12 2.5 2650.0,cm
O4+ + NO -> NO+ + 2O2,c1,1e-10,cm
O4+ + NO2 -> NO2+ + 2O2,c1,3e-10,cm
O4+ + O(^3P) -> O2+ + O3,c1,3e-10,cm
N2O2+ + O2 -> O4+ + N2,c1,1e-09,cm
N2O2+ + N2 -> O2+ + 2N2,c1*(300/Tg)**c2*exp(-c3/Tg),1.1e-06 5.3 2357.0,cm
# Electron recombination
e + N2+ + M -> N2 + M,c1*(300/Te)**c2,6e-27 1.5,cm
e + N2+ -> N(^4S) + N(^4S),c1*(300/Te)**c2,2.8e-07 0.5,cm
e + N2+ -> N(^4S) + N(^2D),c1*(300/Te)**c2,2e-07 0.5,cm
e + N4+ -> 2N2,c1*(300/Te)**c2,2e-06 0.5,cm
e + O2+ + M -> O2 + M,c1*(300/Te)**c2,6e-27 1.5,cm
e + O2+ -> O(^3P) + O(^1D),c1*(300/Te)**c2,1.95e-07 0.7,cm
e + O4+ -> 2O2,c1*(300/Te)**c2,1.4e-06 0.5,cm
e + N2O2+ -> N2 + O2,c1*(300/Te)**c2,1.3e-06 0.5,cm
# Ion recombination
N2+ + O- + M -> N2O + M,c1*(300/Tg)**c2,2e-25 2.5,cm
N2+ + O- + M -> N2 + O(^3P) + M,c1*(300/Tg)**c2,2e-25 2.5,cm
N2+ + O- -> N2 + O(^3P),c1*(300/Tg)**c2,2e-07 0.5,cm
N2+ + O- -> 2N(^4S) + O(^3P),c1,1e-07,cm
N2+ + O2- + M -> N2 + O2 + M,c1*(300/Tg)**c2,2e-25 2.5,cm
N2+ + O2- -> N2 + O2,c1*(300/Tg)**c2,2e-07 0.5,cm
N2+ + O2- -> O2 + 2N(^4S),c1,1e-07,cm
N2+ + O3- -> N2 + O3,c1*(300/Tg)**c2,2e-07 0.5,cm
N2+ + O3- -> O3 + 2N(^4S),c1,1e-07,cm
